Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Kenneth J. Arrow,Economic,M,1972,52,USA,North America,USA,North America
Heinrich Bica,Literature,M,1972,56,Germany,Europe,Germany,Europe
Gerald M. Edelman,Physiology or Medicine,M,1972,44,USA,North America,USA,North America
Rodney R. Porter,Physiology or Medicine,M,1972,56,United Kingdom,Europe,United Kingdom,Europe
Stanford Moore,Chemistry,M,1972,60,USA,North America,USA,North America
William H. Stein,Chemistry,M,1972,62,USA,North America,USA,North America
Christian B. Anfinsen,Chemistry,M,1972,57,USA,North America,USA,North America
John Bardeen,Physics,M,1972,65,USA,North America,USA,North America
Leon Neil Cooper,Physics,M,1972,43,USA,North America,USA,North America
John Robert Schrieffer,Physics,M,1972,42,USA,North America,USA,North America
Wassily Leontief,Economic,M,1973,68,Russia,Europe,USA,North America
Le Duc Tho,Peace,M,1973,63,Vietnam,Asia,Vietnam,Asia
Henry A. Kissinger,Peace,M,1973,51,Germany,Europe,Germany,Europe
Patrick White,Literature,M,1973,62,United Kingdom,Europe,Australia,Oceanian
Karl von Frisch,Physiology or Medicine,M,1973,87,Austria,Europe,Germany,Europe
Konrad Lorenz,Physiology or Medicine,M,1973,71,Austria,Europe,Austria,Europe
Nikolaas Tinbergen,Physiology or Medicine,M,1973,67,Netherlands,Europe,United Kingdom,Europe
Ernst Otto Fischer,Chemistry,M,1973,56,Germany,Europe,Germany,Europe
Geoffrey Wilkinson,Chemistry,M,1973,53,United Kingdom,Europe,United Kingdom,Europe
Leo Esaki,Physics,M,1973,49,Japan,Asia,USA,North America
Ivar Giaever,Physics,M,1973,45,Norway,Europe,USA,North America
Brian David Josephson,Physics,M,1973,34,United Kingdom,Europe,United Kingdom,Europe
Gunnar Myrdal,Economic,M,1974,77,Sweden,Europe,Sweden,Europe
Friedrich August von Hayek,Economic,M,1974,76,Austria,Europe,Austria,Europe
Eisaku Sato,Peace,M,1974,71,Japan,Asia,Japan,Asia
Seianobel Pea,Peace,M,1974,71,France,Europe,Ireland,Europe
Harry Martinson,Literature,M,1974,70,Sweden,Europe,Sweden,Europe
Eyvind Johnson,Literature,M,1974,74,Sweden,Europe,Sweden,Europe
Albert Claude,Physiology or Medicine,M,1974,76,Belgium,Europe,Belgium,Europe
Christian de Duve,Physiology or Medicine,M,1974,57,United Kingdom,Europe,Belgium,Europe
George E. Palade,Physiology or Medicine,M,1974,63,Romania,Europe,USA,North America
Paul J. Flory,Chemistry,M,1974,65,USA,North America,USA,North America
Sir Martin Ryle,Physics,M,1974,57,United Kingdom,Europe,United Kingdom,Europe
Antony Hewish,Physics,M,1974,51,United Kingdom,Europe,United Kingdom,Europe
Leonid Vitaliyevich Kantorovich,Economic,M,1975,64,Russia,Europe,Russia,Europe
Tjalling C. Koopmans,Economic,M,1975,66,Netherlands,Europe,USA,North America
Andrei Dmitrievich Sakharov,Peace,M,1975,55,Russia,Europe,Russia,Europe
Eugenio Montale,Literature,M,1975,80,Italy,Europe,Italy,Europe
David Baltimore,Physiology or Medicine,M,1975,38,USA,North America,USA,North America
Renato Dulbecco,Physiology or Medicine,M,1975,62,Italy,Europe,United Kingdom,Europe
Howard Martin Temin,Physiology or Medicine,M,1975,42,USA,North America,USA,North America
Vladimir Prelog,Chemistry,M,1975,70,Bosnia,Europe,Switzerland,Europe
John Warcup Cornforth,Chemistry,M,1975,59,Australia,Oceanian,United Kingdom,Europe
Aage Niels Bohr,Physics,M,1975,54,Denmark,Europe,Denmark,Europe
Ben Roy Mottelson,Physics,M,1975,50,USA,North America,Denmark,Europe
Leo James Rainwater,Physics,M,1975,59,USA,North America,USA,North America
Milton Friedman,Economic,M,1976,65,USA,North America,USA,North America
Mairead Corrigan,Peace,F,1976,33,Northern Ireland,Europe,United Kingdom,Europe
Betty Williams,Peace,F,1976,34,Northern Ireland,Europe,United Kingdom,Europe
Saul Bellow,Literature,M,1976,62,Canada,North America,USA,North America
Baruch S. Blumberg,Physiology or Medicine,M,1976,52,USA,North America,USA,North America
D. Carleton Gajdusek,Physiology or Medicine,M,1976,54,USA,North America,Norway,Europe
William N. Lipscomb,Chemistry,M,1976,58,USA,North America,USA,North America
Burton Richter,Physics,M,1976,46,USA,North America,USA,North America
Samuel Chao Chung Ting,Physics,M,1976,41,USA,North America,USA,North America
Bertil Ohlin,Economic,M,1977,79,Sweden,Europe,Sweden,Europe
James E. Meade,Economic,M,1977,71,United Kingdom,Europe,United Kingdom,Europe
Amnesty International,Peace,Org,1977,16,United Kingdom,Europe,United Kingdom,Europe
Vicente Aleixandre,Literature,M,1977,80,Spain,Europe,Spain,Europe
Rosalyn Yalow,Physiology or Medicine,F,1977,57,USA,North America,USA,North America
Roger Guillemin,Physiology or Medicine,M,1977,54,France,Europe,USA,North America
Andrew V. Schally,Physiology or Medicine,M,1977,52,Lithuania,Europe,USA,North America
Ilya Prigogine,Chemistry,M,1977,60,Russia,Europe,USA,North America
Philip Warren Anderson,Physics,M,1977,55,USA,North America,USA,North America
Sir Nevill Francis Mott,Physics,M,1977,72,United Kingdom,Europe,United Kingdom,Europe
John Hasbrouck van Vleck,Physics,M,1977,79,USA,North America,USA,North America
Herbert A. Simon,Economic,M,1978,63,USA,North America,USA,North America
Menachem Begin,Peace,M,1978,66,Belarus,Europe,Israel,Asia
Mohamed Anwar al-Sadat,Peace,M,1978,60,Egypt,Africa,Egypt,Africa
Isaac Bashevis Singer,Literature,M,1978,75,Poland,Europe,USA,North America
Werner Arber,Physiology or Medicine,M,1978,49,Switzerland,Europe,Switzerland,Europe
Daniel Nathans,Physiology or Medicine,M,1978,51,USA,North America,USA,North America
Hamilton O. Smith,Physiology or Medicine,M,1978,48,USA,North America,USA,North America
Peter D. Mitchell,Chemistry,M,1978,59,United Kingdom,Europe,United Kingdom,Europe
